epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6244.65,1.29016,0.70682,1.01252,0.77414,0.82817,0.81592,0.36415,1.82701,0.9706,1.4151,0.0011882,0.0011882,0.0011882
43,6407.4,1.29689,0.68924,1.05586,0.7812,0.78873,0.82686,0.36847,1.80182,0.9844,1.43888,0.0011684,0.0011684,0.0011684
44,6752.66,1.30747,0.70536,1.04689,0.73205,0.80036,0.78813,0.35422,1.83766,1.04796,1.45293,0.0011486,0.0011486,0.0011486
45,6870.81,1.28246,0.69737,1.04009,0.79033,0.82817,0.83555,0.37959,1.82479,0.96341,1.44665,0.0011288,0.0011288,0.0011288
46,7049.86,1.31632,0.72065,1.04573,0.796,0.81972,0.82761,0.37352,1.8113,0.97205,1.41531,0.001109,0.001109,0.001109
47,7558.4,1.28643,0.70189,1.06449,0.77722,0.79437,0.81767,0.35453,1.81911,1.02002,1.41773,0.0010892,0.0010892,0.0010892
48,7649.79,1.31832,0.7145,1.04331,0.71413,0.77465,0.77021,0.32308,1.86524,1.07405,1.42233,0.0010694,0.0010694,0.0010694
49,7752.37,1.30788,0.71252,1.04929,0.76068,0.80845,0.78855,0.34292,1.81709,1.03081,1.4235,0.0010496,0.0010496,0.0010496
50,7969.48,1.28996,0.70486,1.02876,0.78034,0.8306,0.82041,0.36625,1.83689,0.98474,1.44016,0.0010298,0.0010298,0.0010298
51,9832.19,1.24852,0.67831,1.01491,0.73843,0.81972,0.79921,0.35518,1.85493,1.02758,1.43866,0.00101,0.00101,0.00101
52,9948.38,1.25138,0.67671,1.02176,0.7878,0.81127,0.82743,0.37936,1.83767,1.0307,1.41943,0.0009902,0.0009902,0.0009902
53,10061.1,1.25338,0.67189,1.02427,0.77125,0.76928,0.8223,0.36986,1.85754,1.07892,1.44112,0.0009704,0.0009704,0.0009704
54,10182,1.24868,0.67241,1.00586,0.76016,0.76338,0.80995,0.35818,1.85975,1.09179,1.44087,0.0009506,0.0009506,0.0009506
55,10292.3,1.25763,0.68435,1.02568,0.7684,0.78592,0.81237,0.36537,1.85815,0.99526,1.44231,0.0009308,0.0009308,0.0009308
56,10393,1.22594,0.64231,1.01559,0.77671,0.83944,0.83188,0.38081,1.82819,0.9504,1.41924,0.000911,0.000911,0.000911
57,10497.4,1.25906,0.6658,1.02793,0.75011,0.8507,0.81198,0.37937,1.80667,1.0035,1.38661,0.0008912,0.0008912,0.0008912
58,10615,1.22298,0.64573,1.01507,0.78206,0.81879,0.81431,0.38009,1.79467,1.00706,1.39078,0.0008714,0.0008714,0.0008714
59,10746.4,1.19213,0.6398,1.01399,0.76147,0.82254,0.79716,0.3609,1.86189,0.99276,1.42876,0.0008516,0.0008516,0.0008516
60,10859.4,1.22452,0.64045,1.01083,0.76551,0.83099,0.83031,0.38103,1.80695,0.96187,1.41177,0.0008318,0.0008318,0.0008318
61,11004.4,1.16618,0.61872,0.99483,0.76181,0.78873,0.80982,0.37141,1.86651,1.03081,1.44006,0.000812,0.000812,0.000812
62,11132.4,1.15762,0.60653,1.00223,0.75277,0.79718,0.81242,0.36588,1.87136,0.98766,1.45121,0.0007922,0.0007922,0.0007922
63,11252.3,1.19474,0.6391,0.99705,0.75122,0.79437,0.79445,0.36062,1.81762,0.98472,1.43629,0.0007724,0.0007724,0.0007724
64,11372.2,1.13649,0.61071,0.96947,0.75133,0.77465,0.78047,0.34868,1.84656,0.99358,1.45979,0.0007526,0.0007526,0.0007526
65,11486.8,1.12519,0.59302,0.98482,0.78484,0.81972,0.82708,0.37621,1.87522,0.94677,1.47036,0.0007328,0.0007328,0.0007328
66,11603.7,1.17033,0.58948,0.99626,0.75267,0.83662,0.83348,0.37445,1.87724,0.96772,1.47511,0.000713,0.000713,0.000713
67,11713.4,1.15246,0.57861,0.9845,0.72294,0.84526,0.80115,0.34887,1.93624,1.00203,1.50119,0.0006932,0.0006932,0.0006932
68,11829.5,1.13417,0.59445,0.98012,0.75084,0.83189,0.82062,0.3748,1.86754,0.95558,1.4626,0.0006734,0.0006734,0.0006734
69,11949.1,1.141,0.59139,0.96829,0.76339,0.85432,0.83324,0.37199,1.87108,0.9381,1.45988,0.0006536,0.0006536,0.0006536
70,12068.7,1.09328,0.57375,0.96848,0.77418,0.83099,0.82704,0.37487,1.86777,0.93847,1.45091,0.0006338,0.0006338,0.0006338
